,apicalls
1904,apicalls::landroid/os/binder.flushpendingcommands
1905,apicalls::landroid/os/binder.getcallingpid
1906,apicalls::landroid/os/binder.getcallinguid
1907,apicalls::landroid/os/binder.getinterfacedescriptor
1908,apicalls::landroid/os/binder.isbinderalive
1909,apicalls::landroid/os/binder.linktodeath
1910,apicalls::landroid/os/binder.ontransact
1911,apicalls::landroid/os/binder.pingbinder
1912,apicalls::landroid/os/binder.restorecallingidentity
1913,apicalls::landroid/os/binder.unlinktodeath
1914,apicalls::landroid/os/build.getradioversion
1915,apicalls::landroid/os/build.getserial
1916,apicalls::landroid/os/bundle.clear
1917,apicalls::landroid/os/bundle.containskey
1918,apicalls::landroid/os/bundle.deepcopy
1919,apicalls::landroid/os/bundle.get
1920,apicalls::landroid/os/bundle.getbinder
1921,apicalls::landroid/os/bundle.getboolean
1922,apicalls::landroid/os/bundle.getbooleanarray
1923,apicalls::landroid/os/bundle.getbundle
1924,apicalls::landroid/os/bundle.getbytearray
1925,apicalls::landroid/os/bundle.getchar
1926,apicalls::landroid/os/bundle.getcharsequence
1927,apicalls::landroid/os/bundle.getcharsequencearray
1928,apicalls::landroid/os/bundle.getcharsequencearraylist
1929,apicalls::landroid/os/bundle.getclassloader
1930,apicalls::landroid/os/bundle.getdouble
1931,apicalls::landroid/os/bundle.getdoublearray
1932,apicalls::landroid/os/bundle.getfloat
1933,apicalls::landroid/os/bundle.getfloatarray
1934,apicalls::landroid/os/bundle.getint
1935,apicalls::landroid/os/bundle.getintarray
1936,apicalls::landroid/os/bundle.getintegerarraylist
1937,apicalls::landroid/os/bundle.getlong
1938,apicalls::landroid/os/bundle.getlongarray
1939,apicalls::landroid/os/bundle.getparcelable
1940,apicalls::landroid/os/bundle.getparcelablearray
1941,apicalls::landroid/os/bundle.getparcelablearraylist
1942,apicalls::landroid/os/bundle.getserializable
1943,apicalls::landroid/os/bundle.getshort
1944,apicalls::landroid/os/bundle.getshortarray
1945,apicalls::landroid/os/bundle.getsize
1946,apicalls::landroid/os/bundle.getsizef
1947,apicalls::landroid/os/bundle.getsparseparcelablearray
1948,apicalls::landroid/os/bundle.getstring
1949,apicalls::landroid/os/bundle.getstringarray
1950,apicalls::landroid/os/bundle.getstringarraylist
1951,apicalls::landroid/os/bundle.isempty
1952,apicalls::landroid/os/bundle.keyset
1953,apicalls::landroid/os/bundle.putall
1954,apicalls::landroid/os/bundle.putbinder
1955,apicalls::landroid/os/bundle.putboolean
1956,apicalls::landroid/os/bundle.putbooleanarray
1957,apicalls::landroid/os/bundle.putbundle
1958,apicalls::landroid/os/bundle.putbyte
1959,apicalls::landroid/os/bundle.putbytearray
1960,apicalls::landroid/os/bundle.putchar
1961,apicalls::landroid/os/bundle.putchararray
1962,apicalls::landroid/os/bundle.putcharsequence
1963,apicalls::landroid/os/bundle.putcharsequencearray
1964,apicalls::landroid/os/bundle.putcharsequencearraylist
1965,apicalls::landroid/os/bundle.putdouble
1966,apicalls::landroid/os/bundle.putdoublearray
1967,apicalls::landroid/os/bundle.putfloat
1968,apicalls::landroid/os/bundle.putfloatarray
1969,apicalls::landroid/os/bundle.putint
1970,apicalls::landroid/os/bundle.putintarray
1971,apicalls::landroid/os/bundle.putintegerarraylist
1972,apicalls::landroid/os/bundle.putlong
1973,apicalls::landroid/os/bundle.putlongarray
1974,apicalls::landroid/os/bundle.putparcelable
1975,apicalls::landroid/os/bundle.putparcelablearray
1976,apicalls::landroid/os/bundle.putparcelablearraylist
1977,apicalls::landroid/os/bundle.putserializable
1978,apicalls::landroid/os/bundle.putshort
1979,apicalls::landroid/os/bundle.putshortarray
1980,apicalls::landroid/os/bundle.putsize
1981,apicalls::landroid/os/bundle.putsizef
1982,apicalls::landroid/os/bundle.putsparseparcelablearray
1983,apicalls::landroid/os/bundle.putstring
1984,apicalls::landroid/os/bundle.putstringarray
1985,apicalls::landroid/os/bundle.putstringarraylist
1986,apicalls::landroid/os/bundle.readfromparcel
1987,apicalls::landroid/os/bundle.remove
1988,apicalls::landroid/os/bundle.setclassloader
1989,apicalls::landroid/os/bundle.size
1990,apicalls::landroid/os/bundle.writetoparcel
1991,apicalls::landroid/os/cancellationsignal.cancel
1992,apicalls::landroid/os/cancellationsignal.iscanceled
1993,apicalls::landroid/os/cancellationsignal.setoncancellistener
1994,apicalls::landroid/os/cancellationsignal.throwifcanceled
1995,apicalls::landroid/os/conditionvariable.block
1996,apicalls::landroid/os/conditionvariable.close
1997,apicalls::landroid/os/conditionvariable.open
1998,apicalls::landroid/os/countdowntimer.cancel
1999,apicalls::landroid/os/countdowntimer.onfinish
2000,apicalls::landroid/os/countdowntimer.start
2001,apicalls::landroid/os/deadobjectexception.printstacktrace
2002,apicalls::landroid/os/debug.dumphprofdata
2003,apicalls::landroid/os/debug.getglobalalloccount
2004,apicalls::landroid/os/debug.getglobalallocsize
2005,apicalls::landroid/os/debug.getglobalfreedcount
2006,apicalls::landroid/os/debug.getglobalfreedsize
2007,apicalls::landroid/os/debug.getglobalgcinvocationcount
2008,apicalls::landroid/os/debug.getloadedclasscount
2009,apicalls::landroid/os/debug.getmemoryinfo
2010,apicalls::landroid/os/debug.getnativeheapallocatedsize
2011,apicalls::landroid/os/debug.getnativeheapfreesize
2012,apicalls::landroid/os/debug.getnativeheapsize
2013,apicalls::landroid/os/debug.getpss
2014,apicalls::landroid/os/debug.getruntimestat
2015,apicalls::landroid/os/debug.getthreadalloccount
2016,apicalls::landroid/os/debug.getthreadallocsize
2017,apicalls::landroid/os/debug.getthreadexternalalloccount
2018,apicalls::landroid/os/debug.isdebuggerconnected
2019,apicalls::landroid/os/debug.resetallcounts
2020,apicalls::landroid/os/debug.resetglobalalloccount
2021,apicalls::landroid/os/debug.resetglobalallocsize
2022,apicalls::landroid/os/debug.resetglobalclassinitcount
2023,apicalls::landroid/os/debug.resetglobalclassinittime
2024,apicalls::landroid/os/debug.resetglobalexternalalloccount
2025,apicalls::landroid/os/debug.resetglobalexternalallocsize
2026,apicalls::landroid/os/debug.resetglobalexternalfreedcount
2027,apicalls::landroid/os/debug.resetglobalexternalfreedsize
2028,apicalls::landroid/os/debug.resetglobalfreedcount
2029,apicalls::landroid/os/debug.resetglobalfreedsize
2030,apicalls::landroid/os/debug.resetglobalgcinvocationcount
2031,apicalls::landroid/os/debug.resetthreadalloccount
2032,apicalls::landroid/os/debug.resetthreadallocsize
2033,apicalls::landroid/os/debug.resetthreadexternalalloccount
2034,apicalls::landroid/os/debug.resetthreadexternalallocsize
2035,apicalls::landroid/os/debug.resetthreadgcinvocationcount
2036,apicalls::landroid/os/debug.startalloccounting
2037,apicalls::landroid/os/debug.startmethodtracing
2038,apicalls::landroid/os/debug.startmethodtracingsampling
2039,apicalls::landroid/os/debug.startnativetracing
2040,apicalls::landroid/os/debug.stopalloccounting
2041,apicalls::landroid/os/debug.stopmethodtracing
2042,apicalls::landroid/os/debug.stopnativetracing
2043,apicalls::landroid/os/debug.threadcputimenanos
2044,apicalls::landroid/os/debug.waitfordebugger
2045,apicalls::landroid/os/debug.waitingfordebugger
2046,apicalls::landroid/os/dropboxmanager.adddata
2047,apicalls::landroid/os/dropboxmanager.addtext
2048,apicalls::landroid/os/dropboxmanager.getnextentry
2049,apicalls::landroid/os/dropboxmanager.istagenabled
2050,apicalls::landroid/os/environment.getdatadirectory
2051,apicalls::landroid/os/environment.getdownloadcachedirectory
2052,apicalls::landroid/os/environment.getexternalstorageappcachedirectory
2053,apicalls::landroid/os/environment.getexternalstoragedirectory
2054,apicalls::landroid/os/environment.getexternalstoragepublicdirectory
2055,apicalls::landroid/os/environment.getexternalstoragestate
2056,apicalls::landroid/os/environment.getrootdirectory
2057,apicalls::landroid/os/environment.getstoragestate
2058,apicalls::landroid/os/environment.isexternalstorageemulated
2059,apicalls::landroid/os/environment.isexternalstoragelegacy
2060,apicalls::landroid/os/environment.isexternalstoragemanager
2061,apicalls::landroid/os/environment.isexternalstorageremovable
2062,apicalls::landroid/os/fileobserver.startwatching
2063,apicalls::landroid/os/fileobserver.stopwatching
2064,apicalls::landroid/os/fileuriexposedexception.printstacktrace
2065,apicalls::landroid/os/fileutils.copy
2066,apicalls::landroid/os/fileutils.copytofile
2067,apicalls::landroid/os/fileutils.getfatvolumeid
2068,apicalls::landroid/os/fileutils.getfilestatus
2069,apicalls::landroid/os/fileutils.getpermissions
2070,apicalls::landroid/os/fileutils.isfilenamesafe
2071,apicalls::landroid/os/fileutils.readtextfile
2072,apicalls::landroid/os/fileutils.setpermissions
2073,apicalls::landroid/os/fileutils.stringtofile
2074,apicalls::landroid/os/fileutils.sync
2075,apicalls::landroid/os/handler.createasync
2076,apicalls::landroid/os/handler.dispatchmessage
2077,apicalls::landroid/os/handler.getlooper
2078,apicalls::landroid/os/handler.getmessagename
2079,apicalls::landroid/os/handler.handlemessage
2080,apicalls::landroid/os/handler.hascallbacks
2081,apicalls::landroid/os/handler.hasmessages
2082,apicalls::landroid/os/handler.obtainmessage
2083,apicalls::landroid/os/handler.post
2084,apicalls::landroid/os/handler.postatfrontofqueue
2085,apicalls::landroid/os/handler.postattime
2086,apicalls::landroid/os/handler.postdelayed
2087,apicalls::landroid/os/handler.removecallbacks
2088,apicalls::landroid/os/handler.removecallbacksandmessages
2089,apicalls::landroid/os/handler.removemessages
2090,apicalls::landroid/os/handler.sendemptymessage
2091,apicalls::landroid/os/handler.sendemptymessageattime
2092,apicalls::landroid/os/handler.sendemptymessagedelayed
2093,apicalls::landroid/os/handler.sendmessage
2094,apicalls::landroid/os/handler.sendmessageatfrontofqueue
2095,apicalls::landroid/os/handler.sendmessageattime
2096,apicalls::landroid/os/handler.sendmessagedelayed
2097,apicalls::landroid/os/handlerthread.destroy
2098,apicalls::landroid/os/handlerthread.getid
2099,apicalls::landroid/os/handlerthread.getlooper
2100,apicalls::landroid/os/handlerthread.getname
2101,apicalls::landroid/os/handlerthread.getstacktrace
2102,apicalls::landroid/os/handlerthread.getstate
2103,apicalls::landroid/os/handlerthread.getthreadid
2104,apicalls::landroid/os/handlerthread.interrupt
2105,apicalls::landroid/os/handlerthread.isalive
2106,apicalls::landroid/os/handlerthread.isinterrupted
2107,apicalls::landroid/os/handlerthread.join
2108,apicalls::landroid/os/handlerthread.onlooperprepared
2109,apicalls::landroid/os/handlerthread.quit
2110,apicalls::landroid/os/handlerthread.quitsafely
2111,apicalls::landroid/os/handlerthread.run
2112,apicalls::landroid/os/handlerthread.setdaemon
2113,apicalls::landroid/os/handlerthread.setname
2114,apicalls::landroid/os/handlerthread.setpriority
2115,apicalls::landroid/os/handlerthread.setuncaughtexceptionhandler
2116,apicalls::landroid/os/handlerthread.start
2117,apicalls::landroid/os/health/healthstats.getmeasurement
2118,apicalls::landroid/os/health/healthstats.getmeasurementkeyat
2119,apicalls::landroid/os/health/healthstats.getmeasurementkeycount
2120,apicalls::landroid/os/health/healthstats.getmeasurements
2121,apicalls::landroid/os/health/healthstats.getmeasurementskeyat
2122,apicalls::landroid/os/health/healthstats.getmeasurementskeycount
2123,apicalls::landroid/os/health/healthstats.getstats
2124,apicalls::landroid/os/health/healthstats.getstatskeyat
2125,apicalls::landroid/os/health/healthstats.getstatskeycount
2126,apicalls::landroid/os/health/healthstats.gettimerkeyat
2127,apicalls::landroid/os/health/healthstats.gettimerkeycount
2128,apicalls::landroid/os/health/healthstats.gettimers
2129,apicalls::landroid/os/health/healthstats.gettimerskeyat
2130,apicalls::landroid/os/health/healthstats.gettimerskeycount
2131,apicalls::landroid/os/health/healthstats.hasmeasurement
2132,apicalls::landroid/os/health/healthstats.hasstats
2133,apicalls::landroid/os/health/systemhealthmanager.takemyuidsnapshot
2134,apicalls::landroid/os/health/timerstat.getcount
2135,apicalls::landroid/os/health/timerstat.gettime
2136,apicalls::landroid/os/ibinder.dump
2137,apicalls::landroid/os/ibinder.getinterfacedescriptor
2138,apicalls::landroid/os/ibinder.isbinderalive
2139,apicalls::landroid/os/ibinder.linktodeath
2140,apicalls::landroid/os/ibinder.querylocalinterface
2141,apicalls::landroid/os/ibinder.transact
2142,apicalls::landroid/os/ibinder.unlinktodeath
2143,apicalls::landroid/os/iinterface.asbinder
2144,apicalls::landroid/os/localelist.forlanguagetags
2145,apicalls::landroid/os/localelist.get
2146,apicalls::landroid/os/localelist.getadjusteddefault
2147,apicalls::landroid/os/localelist.getdefault
2148,apicalls::landroid/os/localelist.getfirstmatch
2149,apicalls::landroid/os/localelist.indexof
2150,apicalls::landroid/os/localelist.isempty
2151,apicalls::landroid/os/localelist.setdefault
2152,apicalls::landroid/os/localelist.size
2153,apicalls::landroid/os/localelist.tolanguagetags
2154,apicalls::landroid/os/looper.getmainlooper
2155,apicalls::landroid/os/looper.getqueue
2156,apicalls::landroid/os/looper.getthread
2157,apicalls::landroid/os/looper.iscurrentthread
2158,apicalls::landroid/os/looper.loop
2159,apicalls::landroid/os/looper.mylooper
2160,apicalls::landroid/os/looper.myqueue
2161,apicalls::landroid/os/looper.prepare
2162,apicalls::landroid/os/looper.preparemainlooper
2163,apicalls::landroid/os/looper.quit
2164,apicalls::landroid/os/looper.quitsafely
2165,apicalls::landroid/os/looper.setmessagelogging
2166,apicalls::landroid/os/memoryfile.allowpurging
2167,apicalls::landroid/os/memoryfile.close
2168,apicalls::landroid/os/memoryfile.getinputstream
2169,apicalls::landroid/os/memoryfile.getoutputstream
2170,apicalls::landroid/os/memoryfile.length
2171,apicalls::landroid/os/memoryfile.readbytes
2172,apicalls::landroid/os/memoryfile.writebytes
2173,apicalls::landroid/os/message.copyfrom
2174,apicalls::landroid/os/message.getcallback
2175,apicalls::landroid/os/message.getdata
2176,apicalls::landroid/os/message.gettarget
2177,apicalls::landroid/os/message.getwhen
2178,apicalls::landroid/os/message.isasynchronous
2179,apicalls::landroid/os/message.obtain
2180,apicalls::landroid/os/message.peekdata
2181,apicalls::landroid/os/message.recycle
2182,apicalls::landroid/os/message.sendtotarget
2183,apicalls::landroid/os/message.setasynchronous
2184,apicalls::landroid/os/message.setdata
2185,apicalls::landroid/os/message.settarget
2186,apicalls::landroid/os/message.writetoparcel
2187,apicalls::landroid/os/messagequeue.addidlehandler
2188,apicalls::landroid/os/messagequeue.isidle
2189,apicalls::landroid/os/messagequeue.removeidlehandler
2190,apicalls::landroid/os/messenger.getbinder
2191,apicalls::landroid/os/messenger.send
2192,apicalls::landroid/os/messenger.writetoparcel
2193,apicalls::landroid/os/parcel.appendfrom
2194,apicalls::landroid/os/parcel.createbinderarray
2195,apicalls::landroid/os/parcel.createbinderarraylist
2196,apicalls::landroid/os/parcel.createbooleanarray
2197,apicalls::landroid/os/parcel.createbytearray
2198,apicalls::landroid/os/parcel.createchararray
2199,apicalls::landroid/os/parcel.createdoublearray
2200,apicalls::landroid/os/parcel.createfloatarray
2201,apicalls::landroid/os/parcel.createintarray
2202,apicalls::landroid/os/parcel.createlongarray
2203,apicalls::landroid/os/parcel.createstringarray
2204,apicalls::landroid/os/parcel.createstringarraylist
2205,apicalls::landroid/os/parcel.createtypedarray
2206,apicalls::landroid/os/parcel.createtypedarraylist
2207,apicalls::landroid/os/parcel.dataavail
2208,apicalls::landroid/os/parcel.datacapacity
2209,apicalls::landroid/os/parcel.dataposition
2210,apicalls::landroid/os/parcel.datasize
2211,apicalls::landroid/os/parcel.enforceinterface
2212,apicalls::landroid/os/parcel.marshall
2213,apicalls::landroid/os/parcel.obtain
2214,apicalls::landroid/os/parcel.readarray
2215,apicalls::landroid/os/parcel.readarraylist
2216,apicalls::landroid/os/parcel.readboolean
2217,apicalls::landroid/os/parcel.readbooleanarray
2218,apicalls::landroid/os/parcel.readbundle
2219,apicalls::landroid/os/parcel.readbyte
2220,apicalls::landroid/os/parcel.readbytearray
2221,apicalls::landroid/os/parcel.readchararray
2222,apicalls::landroid/os/parcel.readdouble
2223,apicalls::landroid/os/parcel.readdoublearray
2224,apicalls::landroid/os/parcel.readexception
2225,apicalls::landroid/os/parcel.readfiledescriptor
2226,apicalls::landroid/os/parcel.readfloat
2227,apicalls::landroid/os/parcel.readfloatarray
2228,apicalls::landroid/os/parcel.readhashmap
2229,apicalls::landroid/os/parcel.readint
2230,apicalls::landroid/os/parcel.readintarray
2231,apicalls::landroid/os/parcel.readlist
2232,apicalls::landroid/os/parcel.readlong
2233,apicalls::landroid/os/parcel.readlongarray
2234,apicalls::landroid/os/parcel.readmap
2235,apicalls::landroid/os/parcel.readparcelable
2236,apicalls::landroid/os/parcel.readparcelablearray
2237,apicalls::landroid/os/parcel.readserializable
2238,apicalls::landroid/os/parcel.readsparsearray
2239,apicalls::landroid/os/parcel.readsparsebooleanarray
2240,apicalls::landroid/os/parcel.readstring
2241,apicalls::landroid/os/parcel.readstringarray
2242,apicalls::landroid/os/parcel.readstringlist
2243,apicalls::landroid/os/parcel.readstrongbinder
2244,apicalls::landroid/os/parcel.readtypedarray
2245,apicalls::landroid/os/parcel.readtypedlist
2246,apicalls::landroid/os/parcel.readvalue
2247,apicalls::landroid/os/parcel.recycle
2248,apicalls::landroid/os/parcel.setdataposition
2249,apicalls::landroid/os/parcel.unmarshall
2250,apicalls::landroid/os/parcel.writearray
2251,apicalls::landroid/os/parcel.writebinderarray
2252,apicalls::landroid/os/parcel.writebinderlist
2253,apicalls::landroid/os/parcel.writeboolean
2254,apicalls::landroid/os/parcel.writebooleanarray
2255,apicalls::landroid/os/parcel.writebundle
2256,apicalls::landroid/os/parcel.writebyte
2257,apicalls::landroid/os/parcel.writebytearray
2258,apicalls::landroid/os/parcel.writechararray
2259,apicalls::landroid/os/parcel.writedouble
2260,apicalls::landroid/os/parcel.writedoublearray
2261,apicalls::landroid/os/parcel.writeexception
2262,apicalls::landroid/os/parcel.writefiledescriptor
2263,apicalls::landroid/os/parcel.writefloat
2264,apicalls::landroid/os/parcel.writefloatarray
2265,apicalls::landroid/os/parcel.writeint
2266,apicalls::landroid/os/parcel.writeintarray
2267,apicalls::landroid/os/parcel.writeinterfacetoken
2268,apicalls::landroid/os/parcel.writelist
2269,apicalls::landroid/os/parcel.writelong
2270,apicalls::landroid/os/parcel.writelongarray
2271,apicalls::landroid/os/parcel.writemap
2272,apicalls::landroid/os/parcel.writenoexception
2273,apicalls::landroid/os/parcel.writeparcelable
2274,apicalls::landroid/os/parcel.writeparcelablearray
2275,apicalls::landroid/os/parcel.writeserializable
2276,apicalls::landroid/os/parcel.writesparsearray
2277,apicalls::landroid/os/parcel.writesparsebooleanarray
2278,apicalls::landroid/os/parcel.writestring
2279,apicalls::landroid/os/parcel.writestringarray
2280,apicalls::landroid/os/parcel.writestringlist
2281,apicalls::landroid/os/parcel.writestrongbinder
2282,apicalls::landroid/os/parcel.writestronginterface
2283,apicalls::landroid/os/parcel.writetypedarray
2284,apicalls::landroid/os/parcel.writetypedlist
2285,apicalls::landroid/os/parcel.writevalue
2286,apicalls::landroid/os/parcelable.describecontents
2287,apicalls::landroid/os/parcelable.writetoparcel
2288,apicalls::landroid/os/parcelfiledescriptor.adoptfd
2289,apicalls::landroid/os/parcelfiledescriptor.close
2290,apicalls::landroid/os/parcelfiledescriptor.createpipe
2291,apicalls::landroid/os/parcelfiledescriptor.detachfd
2292,apicalls::landroid/os/parcelfiledescriptor.dup
2293,apicalls::landroid/os/parcelfiledescriptor.fromdatagramsocket
2294,apicalls::landroid/os/parcelfiledescriptor.fromfd
2295,apicalls::landroid/os/parcelfiledescriptor.fromsocket
2296,apicalls::landroid/os/parcelfiledescriptor.getfd
2297,apicalls::landroid/os/parcelfiledescriptor.getfiledescriptor
2298,apicalls::landroid/os/parcelfiledescriptor.getstatsize
2299,apicalls::landroid/os/parcelfiledescriptor.open
2300,apicalls::landroid/os/parcelfiledescriptor.parsemode
2301,apicalls::landroid/os/parcelfiledescriptor.writetoparcel
2302,apicalls::landroid/os/parceluuid.fromstring
2303,apicalls::landroid/os/parceluuid.getuuid
2304,apicalls::landroid/os/parceluuid.writetoparcel
2305,apicalls::landroid/os/patternmatcher.getpath
2306,apicalls::landroid/os/patternmatcher.gettype
2307,apicalls::landroid/os/persistablebundle.containskey
2308,apicalls::landroid/os/persistablebundle.get
2309,apicalls::landroid/os/persistablebundle.getboolean
2310,apicalls::landroid/os/persistablebundle.getint
2311,apicalls::landroid/os/persistablebundle.getintarray
2312,apicalls::landroid/os/persistablebundle.getlong
2313,apicalls::landroid/os/persistablebundle.getpersistablebundle
2314,apicalls::landroid/os/persistablebundle.getstring
2315,apicalls::landroid/os/persistablebundle.getstringarray
2316,apicalls::landroid/os/persistablebundle.keyset
2317,apicalls::landroid/os/persistablebundle.putall
2318,apicalls::landroid/os/persistablebundle.putboolean
2319,apicalls::landroid/os/persistablebundle.putbooleanarray
2320,apicalls::landroid/os/persistablebundle.putdouble
2321,apicalls::landroid/os/persistablebundle.putdoublearray
2322,apicalls::landroid/os/persistablebundle.putint
2323,apicalls::landroid/os/persistablebundle.putintarray
2324,apicalls::landroid/os/persistablebundle.putlong
2325,apicalls::landroid/os/persistablebundle.putlongarray
2326,apicalls::landroid/os/persistablebundle.putpersistablebundle
2327,apicalls::landroid/os/persistablebundle.putstring
2328,apicalls::landroid/os/persistablebundle.putstringarray
2329,apicalls::landroid/os/powermanager.isdeviceidlemode
2330,apicalls::landroid/os/powermanager.isignoringbatteryoptimizations
2331,apicalls::landroid/os/powermanager.isinteractive
2332,apicalls::landroid/os/powermanager.ispowersavemode
2333,apicalls::landroid/os/powermanager.isscreenon
2334,apicalls::landroid/os/powermanager.issustainedperformancemodesupported
2335,apicalls::landroid/os/powermanager.iswakelocklevelsupported
2336,apicalls::landroid/os/powermanager.newwakelock
2337,apicalls::landroid/os/powermanager.reboot
2338,apicalls::landroid/os/process.getelapsedcputime
2339,apicalls::landroid/os/process.getgidforname
2340,apicalls::landroid/os/process.getparentpid
2341,apicalls::landroid/os/process.getstartelapsedrealtime
2342,apicalls::landroid/os/process.getthreadpriority
2343,apicalls::landroid/os/process.getuidforpid
2344,apicalls::landroid/os/process.is64bit
2345,apicalls::landroid/os/process.isapplicationuid
2346,apicalls::landroid/os/process.isisolated
2347,apicalls::landroid/os/process.killprocess
2348,apicalls::landroid/os/process.killprocessquiet
2349,apicalls::landroid/os/process.mypid
2350,apicalls::landroid/os/process.mytid
2351,apicalls::landroid/os/process.myuid
2352,apicalls::landroid/os/process.myuserhandle
2353,apicalls::landroid/os/process.readproclines
2354,apicalls::landroid/os/process.sendsignal
2355,apicalls::landroid/os/process.setthreadpriority
2356,apicalls::landroid/os/process.start
2357,apicalls::landroid/os/process.supportsprocesses
2358,apicalls::landroid/os/remotecallbacklist.beginbroadcast
2359,apicalls::landroid/os/remotecallbacklist.finishbroadcast
2360,apicalls::landroid/os/remotecallbacklist.getbroadcastcookie
2361,apicalls::landroid/os/remotecallbacklist.getbroadcastitem
2362,apicalls::landroid/os/remotecallbacklist.kill
2363,apicalls::landroid/os/remotecallbacklist.oncallbackdied
2364,apicalls::landroid/os/remotecallbacklist.register
2365,apicalls::landroid/os/remotecallbacklist.unregister
2366,apicalls::landroid/os/remoteexception.getcause
2367,apicalls::landroid/os/remoteexception.getlocalizedmessage
2368,apicalls::landroid/os/remoteexception.getmessage
2369,apicalls::landroid/os/remoteexception.initcause
2370,apicalls::landroid/os/remoteexception.printstacktrace
2371,apicalls::landroid/os/remoteexception.setstacktrace
2372,apicalls::landroid/os/resultreceiver.onreceiveresult
2373,apicalls::landroid/os/resultreceiver.send
2374,apicalls::landroid/os/resultreceiver.writetoparcel
2375,apicalls::landroid/os/sharedmemory.close
2376,apicalls::landroid/os/sharedmemory.create
2377,apicalls::landroid/os/sharedmemory.getsize
2378,apicalls::landroid/os/sharedmemory.mapreadwrite
2379,apicalls::landroid/os/sharedmemory.unmap
2380,apicalls::landroid/os/statfs.getavailableblocks
2381,apicalls::landroid/os/statfs.getavailableblockslong
2382,apicalls::landroid/os/statfs.getavailablebytes
2383,apicalls::landroid/os/statfs.getblockcount
2384,apicalls::landroid/os/statfs.getblockcountlong
2385,apicalls::landroid/os/statfs.getblocksize
2386,apicalls::landroid/os/statfs.getblocksizelong
2387,apicalls::landroid/os/statfs.getfreeblocks
2388,apicalls::landroid/os/statfs.getfreeblockslong
2389,apicalls::landroid/os/statfs.getfreebytes
2390,apicalls::landroid/os/statfs.gettotalbytes
2391,apicalls::landroid/os/statfs.restat
2392,apicalls::landroid/os/storage/storagemanager.getcachequotabytes
2393,apicalls::landroid/os/storage/storagemanager.getmountedobbpath
2394,apicalls::landroid/os/storage/storagemanager.getstoragevolume
2395,apicalls::landroid/os/storage/storagemanager.getstoragevolumes
2396,apicalls::landroid/os/storage/storagemanager.getuuidforpath
2397,apicalls::landroid/os/storage/storagemanager.iscachebehaviorgroup
2398,apicalls::landroid/os/storage/storagemanager.iscachebehaviortombstone
2399,apicalls::landroid/os/storage/storagemanager.isobbmounted
2400,apicalls::landroid/os/storage/storagemanager.mountobb
2401,apicalls::landroid/os/storage/storagevolume.createaccessintent
2402,apicalls::landroid/os/storage/storagevolume.getdescription
2403,apicalls::landroid/os/storage/storagevolume.getstate
2404,apicalls::landroid/os/storage/storagevolume.getuuid
2405,apicalls::landroid/os/storage/storagevolume.isemulated
2406,apicalls::landroid/os/storage/storagevolume.isprimary
2407,apicalls::landroid/os/storage/storagevolume.isremovable
2408,apicalls::landroid/os/strictmode.allowthreaddiskreads
2409,apicalls::landroid/os/strictmode.allowthreaddiskwrites
2410,apicalls::landroid/os/strictmode.enabledefaults
2411,apicalls::landroid/os/strictmode.entercriticalspan
2412,apicalls::landroid/os/strictmode.getthreadpolicy
2413,apicalls::landroid/os/strictmode.getvmpolicy
2414,apicalls::landroid/os/strictmode.noteslowcall
2415,apicalls::landroid/os/strictmode.setthreadpolicy
2416,apicalls::landroid/os/strictmode.setvmpolicy
2417,apicalls::landroid/os/systemclock.currentthreadtimemillis
2418,apicalls::landroid/os/systemclock.elapsedrealtime
2419,apicalls::landroid/os/systemclock.elapsedrealtimenanos
2420,apicalls::landroid/os/systemclock.setcurrenttimemillis
2421,apicalls::landroid/os/systemclock.sleep
2422,apicalls::landroid/os/systemclock.uptimemillis
2423,apicalls::landroid/os/trace.beginasyncsection
2424,apicalls::landroid/os/trace.beginsection
2425,apicalls::landroid/os/trace.endasyncsection
2426,apicalls::landroid/os/trace.endsection
2427,apicalls::landroid/os/trace.isenabled
2428,apicalls::landroid/os/trace.setcounter
2429,apicalls::landroid/os/userhandle.getuserhandleforuid
2430,apicalls::landroid/os/userhandle.myuserid
2431,apicalls::landroid/os/userhandle.semgetmyuserid
2432,apicalls::landroid/os/usermanager.getapplicationrestrictions
2433,apicalls::landroid/os/usermanager.getuserforserialnumber
2434,apicalls::landroid/os/usermanager.getuserprofiles
2435,apicalls::landroid/os/usermanager.getuserrestrictions
2436,apicalls::landroid/os/usermanager.hasuserrestriction
2437,apicalls::landroid/os/usermanager.issystemuser
2438,apicalls::landroid/os/usermanager.isuseragoat
2439,apicalls::landroid/os/usermanager.isuserrunning
2440,apicalls::landroid/os/usermanager.isuserunlocked
2441,apicalls::landroid/os/vibrationeffect.createoneshot
2442,apicalls::landroid/os/vibrationeffect.createwaveform
2443,apicalls::landroid/os/vibrator.cancel
2444,apicalls::landroid/os/vibrator.hasamplitudecontrol
2445,apicalls::landroid/os/vibrator.hasvibrator
2446,apicalls::landroid/os/vibrator.vibrate
2447,apicalls::landroid/os/worksource.add
2448,apicalls::landroid/os/worksource.remove
2449,apicalls::landroid/preference/checkboxpreference.getkey
2450,apicalls::landroid/preference/checkboxpreference.getonpreferenceclicklistener
2451,apicalls::landroid/preference/checkboxpreference.ischecked
2452,apicalls::landroid/preference/checkboxpreference.onbindview
2453,apicalls::landroid/preference/checkboxpreference.oncreateview
